task_id,category,task_description,prompt
1,security_audit,Review data handling compliance with HIPAA,You are a specialized security audit agent. Review data handling compliance with HIPAA. Provide a detailed analysis and actionable recommendations.
2,data_analysis,Analyze performance metrics for backend,You are a specialized data analysis agent. Analyze performance metrics for backend. Provide a detailed analysis and actionable recommendations.
3,code_review,Evaluate error handling in database,You are a specialized code review agent. Evaluate error handling in database. Provide a detailed analysis and actionable recommendations.
4,documentation,Create troubleshooting guide for data corruption,You are a specialized documentation agent. Create troubleshooting guide for data corruption. Provide a detailed analysis and actionable recommendations.
5,debugging,Debug authentication issues in notification,You are a specialized debugging agent. Debug authentication issues in notification. Provide a detailed analysis and actionable recommendations.
6,testing,Perform regression testing after bug fix,You are a specialized testing agent. Perform regression testing after bug fix. Provide a detailed analysis and actionable recommendations.
7,code_review,Review test coverage for authentication,You are a specialized code review agent. Review test coverage for authentication. Provide a detailed analysis and actionable recommendations.
8,data_analysis,Analyze sales data from database and identify trends,You are a specialized data analysis agent. Analyze sales data from database and identify trends. Provide a detailed analysis and actionable recommendations.
9,research,Analyze competitor strategies for cache layer,You are a specialized research agent. Analyze competitor strategies for cache layer. Provide a detailed analysis and actionable recommendations.
10,testing,Create unit tests for notification,You are a specialized testing agent. Create unit tests for notification. Provide a detailed analysis and actionable recommendations.
11,data_analysis,Identify top performing features based on quality,You are a specialized data analysis agent. Identify top performing features based on quality. Provide a detailed analysis and actionable recommendations.
12,research,Research the history and evolution of GCP,You are a specialized research agent. Research the history and evolution of GCP. Provide a detailed analysis and actionable recommendations.
13,testing,Perform regression testing after bug fix,You are a specialized testing agent. Perform regression testing after bug fix. Provide a detailed analysis and actionable recommendations.
14,content_generation,Write user guides for dashboard,You are a specialized content generation agent. Write user guides for dashboard. Provide a detailed analysis and actionable recommendations.
15,content_generation,Draft a technical specification for message queue,You are a specialized content generation agent. Draft a technical specification for message queue. Provide a detailed analysis and actionable recommendations.
16,debugging,Debug Validation error in queue,You are a specialized debugging agent. Debug Validation error in queue. Provide a detailed analysis and actionable recommendations.
17,debugging,Debug performance degradation in frontend,You are a specialized debugging agent. Debug performance degradation in frontend. Provide a detailed analysis and actionable recommendations.
18,code_review,Review API implementation in payment,You are a specialized code review agent. Review API implementation in payment. Provide a detailed analysis and actionable recommendations.
19,research,Research market trends in entertainment,You are a specialized research agent. Research market trends in entertainment. Provide a detailed analysis and actionable recommendations.
20,documentation,Document API endpoints for authentication,You are a specialized documentation agent. Document API endpoints for authentication. Provide a detailed analysis and actionable recommendations.
21,optimization,Optimize resource utilization in payment,You are a specialized optimization agent. Optimize resource utilization in payment. Provide a detailed analysis and actionable recommendations.
22,debugging,Debug NullPointer error in API,You are a specialized debugging agent. Debug NullPointer error in API. Provide a detailed analysis and actionable recommendations.
23,file_processing,Index content from media,You are a specialized file processing agent. Index content from media. Provide a detailed analysis and actionable recommendations.
24,research,Analyze competitor strategies for data pipeline,You are a specialized research agent. Analyze competitor strategies for data pipeline. Provide a detailed analysis and actionable recommendations.
25,content_generation,Create documentation for login,You are a specialized content generation agent. Create documentation for login. Provide a detailed analysis and actionable recommendations.
